reportedyear,reportedmonth,MCI,Count of MCI
2019,June,Assault,1924
2019,July,Assault,1914
2018,May,Assault,1857
2019,August,Assault,1769
2019,October,Assault,1759
2017,July,Assault,1758
2019,May,Assault,1752
2019,September,Assault,1725
2018,August,Assault,1699
2018,June,Assault,1686
2018,October,Assault,1679
2018,July,Assault,1677
2018,November,Assault,1651
2019,April,Assault,1641
2019,November,Assault,1632
2017,April,Assault,1628
2017,November,Assault,1619
2017,May,Assault,1601
2018,April,Assault,1586
2019,March,Assault,1583
2019,December,Assault,1571
2018,September,Assault,1568
2017,August,Assault,1566
2018,March,Assault,1547
2018,January,Assault,1541
2017,September,Assault,1539
2017,June,Assault,1534
2017,October,Assault,1523
2018,December,Assault,1511
2017,December,Assault,1484
2017,March,Assault,1402
2019,February,Assault,1392
2019,January,Assault,1386
2017,January,Assault,1355
2018,February,Assault,1352
2017,February,Assault,1338
2019,July,Break and Enter,787
2019,August,Break and Enter,745
2018,October,Break and Enter,739
2019,October,Break and Enter,738
2019,November,Break and Enter,733
2019,May,Break and Enter,719
2019,April,Break and Enter,713
2018,December,Break and Enter,708
2019,January,Break and Enter,698
2017,November,Break and Enter,680
2019,September,Break and Enter,667
2018,November,Break and Enter,666
2018,January,Break and Enter,663
2017,October,Break and Enter,661
2018,August,Break and Enter,655
2018,May,Break and Enter,637
2019,June,Break and Enter,615
2019,December,Break and Enter,604
2018,June,Break and Enter,600
2018,March,Break and Enter,600
2018,September,Break and Enter,600
2017,August,Break and Enter,589
2018,February,Break and Enter,581
2017,July,Break and Enter,581
2017,September,Break and Enter,569
2018,July,Break and Enter,564
2019,March,Break and Enter,561
2017,January,Break and Enter,557
2019,February,Break and Enter,554
2017,March,Break and Enter,553
2017,December,Break and Enter,551
2017,April,Break and Enter,522
2018,April,Break and Enter,512
2018,November,Auto Theft,505
2017,June,Break and Enter,497
2017,May,Break and Enter,495
2017,February,Break and Enter,494
2019,October,Auto Theft,489
2019,July,Auto Theft,460
2019,November,Auto Theft,458
2018,October,Auto Theft,451
2018,December,Auto Theft,447
2019,June,Auto Theft,419
2019,September,Auto Theft,418
2019,August,Auto Theft,417
2018,August,Auto Theft,410
2018,May,Auto Theft,408
2019,January,Auto Theft,403
2019,December,Auto Theft,402
2019,May,Auto Theft,400
2019,March,Auto Theft,397
2018,July,Auto Theft,392
2018,June,Auto Theft,382
2019,April,Auto Theft,372
2017,October,Robbery,372
2018,September,Auto Theft,367
2019,October,Robbery,363
2017,July,Robbery,359
2018,March,Robbery,353
2017,November,Robbery,351
2017,June,Robbery,347
2019,February,Auto Theft,345
2018,April,Auto Theft,337
2018,March,Auto Theft,335
2017,May,Robbery,330
2018,February,Auto Theft,329
2018,November,Robbery,327
2017,September,Auto Theft,327
2017,April,Robbery,323
2017,August,Auto Theft,322
2017,October,Auto Theft,322
2017,January,Robbery,321
2018,January,Robbery,321
2019,November,Robbery,321
2018,January,Auto Theft,317
2017,July,Auto Theft,315
2017,September,Robbery,315
2017,August,Robbery,312
2019,July,Robbery,310
2018,August,Robbery,309
2017,November,Auto Theft,309
2019,August,Robbery,304
2017,December,Auto Theft,304
2018,October,Robbery,302
2019,May,Robbery,293
2017,June,Auto Theft,289
2018,September,Robbery,284
2018,July,Robbery,282
2019,June,Robbery,282
2017,May,Auto Theft,282
2018,February,Robbery,279
2017,December,Robbery,278
2018,December,Robbery,278
2019,February,Robbery,278
2017,March,Auto Theft,271
2019,December,Robbery,268
2018,June,Robbery,268
2018,May,Robbery,267
2017,April,Auto Theft,262
2017,March,Robbery,262
2019,January,Robbery,259
2017,February,Robbery,255
2019,September,Robbery,245
2018,April,Robbery,237
2017,January,Auto Theft,229
2019,March,Robbery,223
2017,February,Auto Theft,217
2019,April,Robbery,187
2019,October,Theft Over,133
2019,July,Theft Over,132
2017,September,Theft Over,121
2018,December,Theft Over,120
2019,August,Theft Over,119
2019,May,Theft Over,118
2019,September,Theft Over,117
2019,June,Theft Over,115
2017,October,Theft Over,114
2017,August,Theft Over,111
2018,July,Theft Over,111
2018,August,Theft Over,110
2019,April,Theft Over,107
2018,April,Theft Over,105
2018,November,Theft Over,105
2018,September,Theft Over,105
2019,November,Theft Over,103
2019,December,Theft Over,101
2018,March,Theft Over,100
2019,March,Theft Over,100
2017,May,Theft Over,100
2019,January,Theft Over,99
2018,May,Theft Over,99
2018,October,Theft Over,97
2018,January,Theft Over,93
2017,March,Theft Over,91
2017,December,Theft Over,89
2017,November,Theft Over,89
2017,July,Theft Over,88
2017,June,Theft Over,88
2017,January,Theft Over,87
2018,February,Theft Over,86
2017,April,Theft Over,85
2018,June,Theft Over,85
2019,February,Theft Over,68
2017,February,Theft Over,62
