,FSA,bedrooms,post_published_date,average_price
0,M1B,2.0,2020-10-14,1834.0
1,M1B,1.0,2020-10-19,1200.0
2,M1B,1.0,2020-10-23,1750.0
3,M1B,1.0,2020-10-27,1700.0
4,M1B,2.0,2020-10-28,1695.0
5,M1C,2.0,2020-10-22,1675.0
6,M1E,2.0,2020-09-23,1580.0
7,M1E,2.0,2020-10-03,1979.0
8,M1E,1.0,2020-10-13,750.0
9,M1E,2.0,2020-10-14,1500.0
10,M1E,2.0,2020-10-15,1980.0
11,M1E,1.0,2020-10-19,1675.0
12,M1E,2.0,2020-10-19,2000.0
13,M1E,2.0,2020-10-26,1600.0
14,M1E,2.0,2020-10-27,2300.0
15,M1G,1.0,2020-10-19,1350.0
16,M1G,2.0,2020-10-19,1700.0
17,M1G,2.0,2020-10-26,2300.0
18,M1H,1.0,2020-10-11,1400.0
19,M1H,1.0,2020-10-20,1850.0
20,M1H,2.0,2020-10-25,1900.0
21,M1H,2.0,2020-10-26,3095.0
22,M1J,1.0,2020-10-05,1850.0
23,M1J,2.0,2020-10-11,1855.0
24,M1J,2.0,2020-10-25,2200.0
25,M1J,1.0,2020-10-27,1850.0
26,M1J,1.0,2020-10-28,1850.0
27,M1K,2.0,2020-10-22,2200.0
28,M1K,2.0,2020-10-24,1750.0
29,M1K,2.0,2020-10-27,1795.0
30,M1L,1.0,2020-09-29,1650.0
31,M1L,1.0,2020-10-05,1500.0
32,M1L,2.0,2020-10-13,2200.0
33,M1L,1.0,2020-10-26,1100.0
34,M1M,2.0,2020-10-20,1600.0
35,M1M,1.0,2020-10-26,1000.0
36,M1N,1.0,2020-10-05,4250.0
37,M1N,1.0,2020-10-16,1300.0
38,M1N,2.0,2020-10-19,1500.0
39,M1N,1.0,2020-10-27,950.0
40,M1P,1.0,2020-10-13,1749.0
41,M1P,1.0,2020-10-15,1850.0
42,M1P,1.0,2020-10-18,1700.0
43,M1P,1.0,2020-10-21,895.0
44,M1P,1.0,2020-10-27,950.0
45,M1P,1.0,2020-10-28,712.0
46,M1S,1.0,2020-10-13,2795.0
47,M1S,2.0,2020-10-14,1500.0
48,M1S,2.0,2020-10-22,2400.0
49,M1S,2.0,2020-10-28,1800.0
50,M1T,2.0,2020-09-25,1575.0
51,M1T,1.0,2020-10-20,1950.0
52,M1V,2.0,2020-10-19,2250.0
53,M1W,1.0,2020-10-18,1395.0
54,M1X,1.0,2020-10-15,1600.0
55,M1X,2.0,2020-10-21,1500.0
56,M1X,1.0,2020-10-27,1300.0
57,M2J,2.0,2020-10-14,2300.0
58,M2J,1.0,2020-10-16,1950.0
59,M2J,1.0,2020-10-19,2150.0
60,M2J,2.0,2020-10-20,2300.0
61,M2J,1.0,2020-10-21,2700.0
62,M2J,2.0,2020-10-21,2250.0
63,M2J,2.0,2020-10-22,2325.0
64,M2J,1.0,2020-10-23,1950.0
65,M2J,2.0,2020-10-24,2800.0
66,M2J,2.0,2020-10-25,2000.0
67,M2J,2.0,2020-10-27,2150.0
68,M2K,2.0,2020-10-13,2300.0
69,M2K,1.0,2020-10-20,1800.0
70,M2K,2.0,2020-10-20,1750.0
71,M2K,2.0,2020-10-22,2260.0
72,M2K,1.0,2020-10-24,2250.0
73,M2K,1.0,2020-10-28,2200.0
74,M2K,2.0,2020-10-28,2450.0
75,M2L,2.0,2020-10-27,2155.0
76,M2M,1.0,2020-09-25,1695.0
77,M2M,2.0,2020-09-25,2950.0
78,M2M,2.0,2020-10-03,2500.0
79,M2M,1.0,2020-10-20,1800.0
80,M2M,2.0,2020-10-21,2500.0
81,M2M,2.0,2020-10-22,2200.0
82,M2M,1.0,2020-10-23,1360.0
83,M2M,2.0,2020-10-26,2200.0
84,M2M,2.0,2020-10-27,2200.0
85,M2N,2.0,2020-09-22,2700.0
86,M2N,2.0,2020-09-23,3200.0
87,M2N,1.0,2020-10-02,880.0
88,M2N,1.0,2020-10-04,1895.0
89,M2N,1.0,2020-10-05,1392.5
90,M2N,2.0,2020-10-05,2475.0
91,M2N,1.0,2020-10-06,1995.0
92,M2N,2.0,2020-10-06,2770.0
93,M2N,1.0,2020-10-14,1750.0
94,M2N,1.0,2020-10-15,1940.0
95,M2N,2.0,2020-10-15,2250.0
