,cluster,measure_value,price,Measure
0,overall,0.0,1190.0764705882352,No_Bathrooms
1,overall,1.0,2049.2388494678157,No_Bathrooms
2,overall,1.5,2289.078787878788,No_Bathrooms
3,overall,2.0,2854.6470588235293,No_Bathrooms
4,overall,2.5,3964.3939393939395,No_Bathrooms
5,overall,3.0,9881.004347826087,No_Bathrooms
6,overall,3.5,7223.5,No_Bathrooms
7,overall,4.0,6086.787878787879,No_Bathrooms
8,overall,5.0,7478.2307692307695,No_Bathrooms
9,overall,6.0,4825.0,No_Bathrooms
10,overall,7.0,11500.0,No_Bathrooms
11,overall,8.5,6500.0,No_Bathrooms
12,overall,,1684.5223880597016,No_Bathrooms
13,0.0,0.0,1066.48,No_Bathrooms
14,0.0,1.0,1885.6598557692307,No_Bathrooms
15,0.0,1.5,2442.5904761904762,No_Bathrooms
16,0.0,2.0,2813.220211161388,No_Bathrooms
17,0.0,2.5,3029.464285714286,No_Bathrooms
18,0.0,3.0,3648.075,No_Bathrooms
19,0.0,3.5,5765.0,No_Bathrooms
20,0.0,4.0,4208.0,No_Bathrooms
21,0.0,5.0,4613.5,No_Bathrooms
22,0.0,,1696.030303030303,No_Bathrooms
23,1.0,0.0,1433.3333333333333,No_Bathrooms
24,1.0,1.0,2029.5352887259396,No_Bathrooms
25,1.0,1.5,2223.2909090909093,No_Bathrooms
26,1.0,2.0,2761.7480988593156,No_Bathrooms
27,1.0,2.5,5202.142857142857,No_Bathrooms
28,1.0,3.0,4619.090909090909,No_Bathrooms
29,1.0,,2015.0,No_Bathrooms
30,2.0,0.0,1589.5526315789473,No_Bathrooms
31,2.0,1.0,1860.7766192733018,No_Bathrooms
32,2.0,1.5,2237.1858407079644,No_Bathrooms
33,2.0,2.0,3070.503968253968,No_Bathrooms
34,2.0,2.5,3508.1481481481483,No_Bathrooms
35,2.0,3.0,3195.1879194630874,No_Bathrooms
36,2.0,3.5,4388.0,No_Bathrooms
37,2.0,4.0,4659.238095238095,No_Bathrooms
38,2.0,5.0,6666.666666666667,No_Bathrooms
39,2.0,6.0,6000.0,No_Bathrooms
40,2.0,8.5,6500.0,No_Bathrooms
41,2.0,,1679.0466321243523,No_Bathrooms
42,Not Feasible to predict,0.0,0.0,No_Bathrooms
43,Not Feasible to predict,1.0,23432.285714285714,No_Bathrooms
44,Not Feasible to predict,1.5,780.0,No_Bathrooms
45,Not Feasible to predict,2.0,4905.125,No_Bathrooms
46,Not Feasible to predict,2.5,11422.5,No_Bathrooms
47,Not Feasible to predict,3.0,187274.375,No_Bathrooms
48,Not Feasible to predict,3.5,16500.0,No_Bathrooms
49,Not Feasible to predict,4.0,11711.42857142857,No_Bathrooms
50,Not Feasible to predict,5.0,13995.0,No_Bathrooms
51,Not Feasible to predict,6.0,3650.0,No_Bathrooms
52,Not Feasible to predict,7.0,11500.0,No_Bathrooms
53,Not Feasible to predict,,128.85714285714286,No_Bathrooms
0,overall,0.0,1559.1167701863353,No_Bedrooms
1,overall,1.0,2025.3061036326756,No_Bedrooms
2,overall,2.0,2470.353260869565,No_Bedrooms
3,overall,3.0,3077.0623084780386,No_Bedrooms
4,overall,4.0,11250.724867724868,No_Bedrooms
5,overall,5.0,4505.114285714286,No_Bedrooms
6,overall,6.0,3899.1666666666665,No_Bedrooms
7,overall,7.0,3750.0,No_Bedrooms
8,overall,8.0,6500.0,No_Bedrooms
9,overall,,1863.6886446886447,No_Bedrooms
10,0.0,0.0,1518.3350515463917,No_Bedrooms
11,0.0,1.0,1755.794498381877,No_Bedrooms
12,0.0,2.0,2424.2181818181816,No_Bedrooms
13,0.0,3.0,2952.0131578947367,No_Bedrooms
14,0.0,4.0,3531.0491803278687,No_Bedrooms
15,0.0,5.0,4096.0,No_Bedrooms
16,0.0,6.0,4300.0,No_Bedrooms
17,0.0,,1763.1935483870968,No_Bedrooms
18,1.0,0.0,1648.6024096385543,No_Bedrooms
19,1.0,1.0,2026.645811240721,No_Bedrooms
