,FSA,bedrooms,post_published_date,average_price
0,M1B,1.0,2020-09-20,1345.0
1,M1B,2.0,2020-09-26,2200.0
2,M1B,1.0,2020-10-08,1450.0
3,M1B,1.0,2020-10-12,1700.0
4,M1B,2.0,2020-10-14,1834.0
5,M1B,1.0,2020-10-19,1075.0
6,M1B,1.0,2020-10-23,1750.0
7,M1B,1.0,2020-10-27,1700.0
8,M1B,2.0,2020-10-28,1695.0
9,M1B,2.0,2020-10-30,1600.0
10,M1B,1.0,2020-10-31,1025.0
11,M1B,2.0,2020-10-31,1574.0
12,M1C,2.0,2020-09-22,1450.0
13,M1C,2.0,2020-09-28,1350.0
14,M1C,1.0,2020-10-13,1195.0
15,M1C,2.0,2020-10-22,1675.0
16,M1E,1.0,2020-09-21,1550.0
17,M1E,1.0,2020-09-23,1675.0
18,M1E,2.0,2020-09-23,1580.0
19,M1E,1.0,2020-09-29,1500.0
20,M1E,2.0,2020-10-03,1979.0
21,M1E,2.0,2020-10-04,1550.0
22,M1E,1.0,2020-10-12,1675.0
23,M1E,1.0,2020-10-13,750.0
24,M1E,2.0,2020-10-14,1500.0
25,M1E,2.0,2020-10-15,1980.0
26,M1E,1.0,2020-10-19,1675.0
27,M1E,2.0,2020-10-19,2000.0
28,M1E,2.0,2020-10-26,1600.0
29,M1E,2.0,2020-10-27,2300.0
30,M1E,1.0,2020-10-30,1000.0
31,M1E,2.0,2020-10-30,1250.0
32,M1G,2.0,2020-09-22,2375.0
33,M1G,2.0,2020-09-23,2000.0
34,M1G,1.0,2020-09-27,1660.0
35,M1G,2.0,2020-10-03,2000.0
36,M1G,2.0,2020-10-10,1900.0
37,M1G,1.0,2020-10-15,1635.0
38,M1G,1.0,2020-10-19,1350.0
39,M1G,2.0,2020-10-19,1700.0
40,M1G,2.0,2020-10-26,2300.0
41,M1G,1.0,2020-11-01,1650.0
42,M1G,2.0,2020-11-01,1200.0
43,M1G,2.0,2020-11-03,1200.0
44,M1H,2.0,2020-09-21,3095.0
45,M1H,2.0,2020-09-23,1975.0
46,M1H,2.0,2020-09-24,1000.0
47,M1H,2.0,2020-09-30,1950.0
48,M1H,1.0,2020-10-11,1400.0
49,M1H,1.0,2020-10-20,1850.0
50,M1H,2.0,2020-10-23,1700.0
51,M1H,2.0,2020-10-25,1900.0
52,M1H,2.0,2020-10-26,3095.0
53,M1H,2.0,2020-10-30,1697.5
54,M1J,1.0,2020-09-20,1635.0
55,M1J,1.0,2020-09-21,1066.0
56,M1J,1.0,2020-09-25,1.0
57,M1J,2.0,2020-10-01,2300.0
58,M1J,1.0,2020-10-05,1850.0
59,M1J,2.0,2020-10-11,1855.0
60,M1J,2.0,2020-10-12,1775.0
61,M1J,2.0,2020-10-16,2300.0
62,M1J,1.0,2020-10-19,1680.0
63,M1J,1.0,2020-10-24,1680.0
64,M1J,2.0,2020-10-25,2200.0
65,M1J,1.0,2020-10-27,1850.0
66,M1J,1.0,2020-10-28,1850.0
67,M1J,1.0,2020-10-30,1680.0
68,M1J,1.0,2020-11-01,1680.0
69,M1J,2.0,2020-11-03,1845.0
70,M1K,2.0,2020-09-22,1995.0
71,M1K,2.0,2020-10-01,1495.0
72,M1K,2.0,2020-10-02,1850.0
73,M1K,2.0,2020-10-04,2200.0
74,M1K,2.0,2020-10-07,1800.0
75,M1K,2.0,2020-10-10,1750.0
76,M1K,2.0,2020-10-13,1750.0
77,M1K,2.0,2020-10-16,1750.0
78,M1K,2.0,2020-10-18,1750.0
79,M1K,2.0,2020-10-20,1750.0
80,M1K,2.0,2020-10-21,1797.5
81,M1K,2.0,2020-10-22,2200.0
82,M1K,2.0,2020-10-24,1750.0
83,M1K,2.0,2020-10-27,1795.0
84,M1K,2.0,2020-10-29,1750.0
85,M1K,2.0,2020-11-01,1900.0
86,M1K,2.0,2020-11-02,1700.0
87,M1L,1.0,2020-09-20,1650.0
88,M1L,1.0,2020-09-21,800.0
89,M1L,1.0,2020-09-25,1500.0
90,M1L,1.0,2020-09-29,1650.0
91,M1L,2.0,2020-09-30,1500.0
92,M1L,1.0,2020-10-03,1425.0
93,M1L,1.0,2020-10-05,1500.0
94,M1L,2.0,2020-10-09,2000.0
95,M1L,2.0,2020-10-13,2200.0
96,M1L,1.0,2020-10-16,1200.0
97,M1L,1.0,2020-10-17,1200.0
98,M1L,1.0,2020-10-24,1200.0
99,M1L,1.0,2020-10-26,1100.0
100,M1L,1.0,2020-10-29,1120.0
101,M1L,1.0,2020-11-02,1400.0
102,M1L,1.0,2020-11-03,660.0
103,M1M,1.0,2020-09-21,1400.0
104,M1M,1.0,2020-09-27,1795.0
105,M1M,1.0,2020-09-28,1295.0
106,M1M,1.0,2020-09-29,1147.5
107,M1M,1.0,2020-10-01,990.0
108,M1M,1.0,2020-10-06,1300.0
109,M1M,2.0,2020-10-08,1350.0
110,M1M,1.0,2020-10-09,1300.0
111,M1M,1.0,2020-10-10,1298.0
112,M1M,1.0,2020-10-11,1570.0
113,M1M,1.0,2020-10-14,1300.0
114,M1M,2.0,2020-10-20,1600.0
115,M1M,1.0,2020-10-26,1000.0
116,M1M,1.0,2020-10-31,1198.0
117,M1M,1.0,2020-11-01,1200.0
118,M1M,1.0,2020-11-02,1100.0
119,M1N,1.0,2020-09-20,3112.5
120,M1N,1.0,2020-09-21,1329.3333333333333
121,M1N,1.0,2020-09-23,1400.0
122,M1N,1.0,2020-10-03,2049.0
123,M1N,1.0,2020-10-04,1016.6666666666666
124,M1N,1.0,2020-10-05,4250.0
125,M1N,2.0,2020-10-09,1800.0
126,M1N,1.0,2020-10-11,1000.0
127,M1N,1.0,2020-10-16,1300.0
128,M1N,2.0,2020-10-19,1500.0
129,M1N,1.0,2020-10-27,950.0
130,M1P,1.0,2020-09-19,800.0
131,M1P,1.0,2020-09-21,801.6666666666666
132,M1P,1.0,2020-09-22,965.6
133,M1P,2.0,2020-09-25,2200.0
134,M1P,1.0,2020-09-27,700.0
135,M1P,2.0,2020-09-27,1200.0
136,M1P,1.0,2020-09-28,699.0
137,M1P,1.0,2020-09-29,600.0
138,M1P,1.0,2020-09-30,725.0
139,M1P,1.0,2020-10-01,712.0
140,M1P,2.0,2020-10-01,2250.0
141,M1P,1.0,2020-10-02,725.0
142,M1P,1.0,2020-10-04,708.0
143,M1P,1.0,2020-10-05,725.0
144,M1P,1.0,2020-10-06,699.0
145,M1P,1.0,2020-10-07,699.0
146,M1P,1.0,2020-10-08,712.0
147,M1P,1.0,2020-10-09,1141.3333333333333
148,M1P,1.0,2020-10-11,712.0
149,M1P,1.0,2020-10-13,1749.0
150,M1P,1.0,2020-10-15,1850.0
151,M1P,1.0,2020-10-16,712.0
152,M1P,1.0,2020-10-18,1700.0
153,M1P,1.0,2020-10-19,699.0
154,M1P,1.0,2020-10-20,712.0
155,M1P,1.0,2020-10-21,773.0
156,M1P,1.0,2020-10-24,712.0
157,M1P,1.0,2020-10-27,950.0
158,M1P,1.0,2020-10-28,712.0
159,M1P,1.0,2020-10-31,712.0
160,M1P,2.0,2020-10-31,0.0
161,M1P,1.0,2020-11-01,908.0
162,M1P,2.0,2020-11-02,2100.0
163,M1R,2.0,2020-09-22,1600.0
164,M1R,2.0,2020-10-02,1900.0
165,M1R,1.0,2020-10-12,1595.0
166,M1R,1.0,2020-10-29,1022.0
167,M1R,1.0,2020-11-01,1595.0
168,M1S,1.0,2020-09-21,2795.0
169,M1S,2.0,2020-09-23,2500.0
170,M1S,2.0,2020-10-09,1800.0
171,M1S,1.0,2020-10-13,2795.0
172,M1S,2.0,2020-10-14,1500.0
173,M1S,2.0,2020-10-22,2400.0
174,M1S,2.0,2020-10-28,1800.0
175,M1S,1.0,2020-10-29,942.0
176,M1S,2.0,2020-11-01,1750.0
177,M1T,2.0,2020-09-20,2195.0
178,M1T,2.0,2020-09-25,1575.0
179,M1T,1.0,2020-09-28,2000.0
180,M1T,1.0,2020-10-17,1600.0
181,M1T,1.0,2020-10-20,1950.0
182,M1V,2.0,2020-10-19,2250.0
183,M1V,2.0,2020-10-31,1500.0
184,M1W,2.0,2020-09-29,1850.0
185,M1W,1.0,2020-09-30,1485.0
186,M1W,1.0,2020-10-18,1395.0
187,M1X,2.0,2020-09-25,1500.0
188,M1X,1.0,2020-09-28,1150.0
189,M1X,1.0,2020-10-15,1600.0
190,M1X,2.0,2020-10-21,1500.0
191,M1X,1.0,2020-10-27,1300.0
192,M1X,1.0,2020-10-30,1400.0
193,M2H,1.0,2020-09-27,1600.0
194,M2H,1.0,2020-11-02,1100.0
