reportedyear,FSA,reportedmonth,MCI,Count of MCI
2017,M1B,April,Assault,28
2017,M1B,August,Assault,44
2017,M1B,December,Assault,32
2017,M1B,February,Assault,35
2017,M1B,January,Assault,29
2017,M1B,July,Assault,34
2017,M1B,June,Assault,29
2017,M1B,March,Assault,20
2017,M1B,May,Assault,37
2017,M1B,November,Assault,41
2017,M1B,October,Assault,32
2017,M1B,September,Assault,32
2017,M1B,April,Auto Theft,5
2017,M1B,August,Auto Theft,10
2017,M1B,December,Auto Theft,7
2017,M1B,February,Auto Theft,4
2017,M1B,January,Auto Theft,6
2017,M1B,July,Auto Theft,7
2017,M1B,June,Auto Theft,4
2017,M1B,March,Auto Theft,5
2017,M1B,May,Auto Theft,3
2017,M1B,November,Auto Theft,6
2017,M1B,October,Auto Theft,1
2017,M1B,September,Auto Theft,10
2017,M1B,April,Break and Enter,6
2017,M1B,August,Break and Enter,7
2017,M1B,December,Break and Enter,5
2017,M1B,February,Break and Enter,8
2017,M1B,January,Break and Enter,12
2017,M1B,July,Break and Enter,5
2017,M1B,June,Break and Enter,5
2017,M1B,March,Break and Enter,5
2017,M1B,May,Break and Enter,1
2017,M1B,November,Break and Enter,12
2017,M1B,October,Break and Enter,6
2017,M1B,September,Break and Enter,5
2017,M1B,April,Robbery,8
2017,M1B,August,Robbery,6
2017,M1B,December,Robbery,12
2017,M1B,February,Robbery,1
2017,M1B,January,Robbery,2
2017,M1B,July,Robbery,8
2017,M1B,June,Robbery,10
2017,M1B,March,Robbery,4
2017,M1B,May,Robbery,8
2017,M1B,November,Robbery,5
2017,M1B,October,Robbery,11
2017,M1B,September,Robbery,3
2017,M1B,August,Theft Over,1
2017,M1B,February,Theft Over,1
2017,M1B,January,Theft Over,1
2017,M1B,July,Theft Over,2
2017,M1B,June,Theft Over,2
2017,M1B,March,Theft Over,2
2017,M1B,May,Theft Over,1
2017,M1B,November,Theft Over,1
2017,M1B,October,Theft Over,3
2017,M1B,September,Theft Over,1
2018,M1B,April,Assault,40
2018,M1B,August,Assault,26
2018,M1B,December,Assault,31
2018,M1B,February,Assault,30
2018,M1B,January,Assault,18
2018,M1B,July,Assault,24
2018,M1B,June,Assault,39
2018,M1B,March,Assault,17
2018,M1B,May,Assault,41
2018,M1B,November,Assault,30
2018,M1B,October,Assault,35
2018,M1B,September,Assault,25
2018,M1B,April,Auto Theft,11
2018,M1B,August,Auto Theft,9
2018,M1B,December,Auto Theft,6
2018,M1B,February,Auto Theft,3
2018,M1B,January,Auto Theft,5
2018,M1B,July,Auto Theft,2
2018,M1B,June,Auto Theft,3
2018,M1B,March,Auto Theft,7
2018,M1B,May,Auto Theft,10
2018,M1B,November,Auto Theft,12
2018,M1B,October,Auto Theft,4
2018,M1B,September,Auto Theft,5
2018,M1B,April,Break and Enter,6
2018,M1B,August,Break and Enter,14
2018,M1B,December,Break and Enter,15
2018,M1B,February,Break and Enter,11
2018,M1B,January,Break and Enter,7
2018,M1B,July,Break and Enter,2
2018,M1B,June,Break and Enter,7
2018,M1B,March,Break and Enter,5
2018,M1B,May,Break and Enter,9
2018,M1B,November,Break and Enter,10
2018,M1B,October,Break and Enter,2
2018,M1B,September,Break and Enter,8
2018,M1B,April,Robbery,4
2018,M1B,August,Robbery,1
2018,M1B,December,Robbery,10
2018,M1B,February,Robbery,1
2018,M1B,January,Robbery,5
2018,M1B,July,Robbery,2
2018,M1B,June,Robbery,3
2018,M1B,March,Robbery,4
2018,M1B,May,Robbery,7
2018,M1B,November,Robbery,10
2018,M1B,October,Robbery,6
2018,M1B,September,Robbery,2
2018,M1B,April,Theft Over,2
2018,M1B,August,Theft Over,1
2018,M1B,December,Theft Over,4
2018,M1B,February,Theft Over,1
2018,M1B,January,Theft Over,1
2018,M1B,July,Theft Over,2
2018,M1B,June,Theft Over,2
2018,M1B,November,Theft Over,4
2018,M1B,October,Theft Over,1
2019,M1B,April,Assault,28
2019,M1B,August,Assault,25
2019,M1B,December,Assault,20
2019,M1B,February,Assault,22
2019,M1B,January,Assault,18
2019,M1B,July,Assault,28
2019,M1B,June,Assault,26
2019,M1B,March,Assault,32
2019,M1B,May,Assault,25
2019,M1B,November,Assault,31
2019,M1B,October,Assault,22
2019,M1B,September,Assault,30
2019,M1B,August,Auto Theft,7
2019,M1B,December,Auto Theft,8
2019,M1B,February,Auto Theft,3
2019,M1B,January,Auto Theft,9
2019,M1B,July,Auto Theft,5
